ROW_NUMBER,TRANSACTION_TYPE,ERRORS,DATA_ORDER_ID,DATA_CUSTOMER_NAME,DATA_CUSTOMER_EMAIL,DATA_CUSTOMER_PHONE,DATA_CITY,DATA_ORDER_DATE
1,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,251212,Shanaya Madan,ahana-vora@gmail.com,7332867654,Chennai,21-04-2023
57,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,463727,Zain Rattan,arnavgara@som-chaudhry.com,7669027887,Pune,30-03-2024
58,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,240679,Ahana  Kumar,chirag63@sabharwal.com,8580016724,Mumbai,18-03-2025
59,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,238575,Damini Bhavsar,samarth69@jaggi-sekhon.com,7376102852,Pune,22-11-2024
60,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,215656,Mamooty Yadav,contractorkeya@hotmail.com,9322906821,Hyderabad,18-08-2024
61,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,742912,Jivin Walla,advikwason@ramakrishnan.com,9279939004,Ahmedabad,13-06-2023
62,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,474303,Akarsh Doctor,samashaan@lalla.com,7336225326,Ahmedabad,01-01-2025
63,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,273809,Inaaya  Mahal,aarush69@srinivasan.org,8801066317,Kolkata,10-09-2023
64,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,132742,Siya Shankar,omaharaj@grover.com,8027015672,Mumbai,04-02-2024
65,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,551493,Samarth Singhal,,7658759903,Ahmedabad,23-03-2025
66,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,704709,Advika Chauhan,yuvraj-singh@doctor-sachdev.com,8195964394,Hyderabad,28-05-2024
67,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,517749,Devansh Sen,,7980568991,Chennai,02-10-2023
68,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,586035,Baiju Dhaliwal,somkimaya@virk-rajan.com,7664797324,Kolkata,08-11-2024
69,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,179868,Yuvaan Dutt,raunak32@dixit.com,7271864211,Ahmedabad,29-09-2024
70,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,773075,Navya Dada,esuresh@dada.com,7104332746,Delhi,28-07-2023
71,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,845296,Aarna Devan,uthkarsh19@gmail.com,7608772410,Mumbai,19-03-2025
72,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,841380,Rati Devi,bchar@sama.com,8064637125,Mumbai,25-11-2023
73,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,813895,Devansh Sethi,,8650542480,Delhi,04-05-2023
74,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,181605,Rati Balay,,9646460159,Hyderabad,16-12-2023
75,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,915577,Aradhya Upadhyay,mahikadin@yahoo.com,8454899242,Mumbai,17-03-2025
76,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,546093,Neelofar Dewan,xchanda@yahoo.com,7094288686,Chennai,26-07-2024
77,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,671382,Zoya Subramaniam,,7426587693,Pune,18-08-2023
78,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,861486,Heer Shah,frandhawa@hotmail.com,8080284453,Delhi,28-06-2024
79,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,680823,Nakul Ravi,asaini@atwal.com,9084229175,Mumbai,15-06-2024
80,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,245018,Kabir Vaidya,nhanda@bal.org,8491731479,Delhi,11-05-2023
81,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,277453,Azad Kalita,chargatik@karnik.info,7761029653,Hyderabad,02-11-2024
82,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,260398,Rasha Seshadri,tejasbhandari@yahoo.com,8496435124,Bangalore,22-03-2025
83,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,317541,Mamooty Raja,,9350539051,Hyderabad,29-03-2025
84,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,272460,Shayak Das,,7551750221,Chennai,01-07-2023
85,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,339336,Samiha Swaminathan,vidurchatterjee@sood.com,7357693465,Kolkata,28-01-2025
86,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,131166,Samiha Batra,,7150792111,Delhi,24-12-2023
87,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,650820,Dhanuk Rana,,7492455756,Bangalore,26-04-2023
88,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,242140,Reyansh Mall,miraandhar@barman.info,9202074837,Kolkata,06-02-2024
89,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,958765,Urvi Kata,singhalkiaan@chopra-singh.com,8780770255,Pune,04-04-2025
90,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,616992,Chirag Tandon,adiravenkataraman@mangat.com,8392130357,Bangalore,21-03-2025
91,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,474314,Kimaya Trivedi,dharmajanbawa@yahoo.com,9893224092,Chennai,16-03-2025
92,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,753630,Rati Bumb,oborra@bhalla.com,9742050442,Chennai,11-04-2025
93,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,871624,Lakshay Goda,,8361179423,Chennai,26-03-2025
94,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,402031,Urvi Tiwari,kabirhegde@yahoo.com,9973478222,Bangalore,03-04-2025
95,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,851249,Manjari Batta,navyadhingra@kant.com,8669084740,Pune,14-04-2025
96,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,931756,Nitara Singh,ljain@babu-badal.info,8088636575,Kolkata,10-10-2024
97,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,451453,Aarush Uppal,vritikabhargava@gmail.com,8927631712,Delhi,19-05-2024
98,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,817427,Gokul Dixit,urvi68@mangat-ramesh.org,9236479926,Mumbai,26-03-2025
99,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,224232,Divyansh Tripathi,jyohannan@datta.com,8647981998,Mumbai,22-03-2025
100,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,941546,Nehmat Goswami,,7422716988,Bangalore,11-02-2024
101,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,996124,Pranay Mani,rheakashyap@garg.com,7065258075,Kolkata,17-03-2024
102,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,978802,Shaan Sule,deysahil@walia.com,9264889041,Hyderabad,10-09-2024
103,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,528729,Vaibhav Bhagat,,8736097463,Pune,11-05-2023
104,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,910990,Kiara Karan,hanshbhardwaj@hotmail.com,7705372224,Kolkata,18-03-2025
105,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,374484,Sahil Ram,shankergokul@swaminathan-batta.com,7950512724,Chennai,25-04-2023
106,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,266010,Divij Karnik,dattatejas@gmail.com,9369438905,Chennai,01-07-2024
107,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,459109,Lavanya Balay,bhaminisidhu@gmail.com,7999152987,Pune,03-02-2025
108,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,758480,Damini Toor,divitdada@dave-bahl.net,8045173090,Bangalore,05-06-2023
109,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,625925,Samaira Barad,fkamdar@gmail.com,8064951089,Chennai,31-12-2024
110,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,447906,Ishita Dalal,anikathaker@gmail.com,8979456272,Hyderabad,01-04-2025
111,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,659028,Vanya Dutta,varugheseishaan@yahoo.com,8636452195,Pune,07-04-2025
112,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,828925,Nehmat Bhatnagar,kumerraunak@hotmail.com,7442535693,Bangalore,30-06-2024
113,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,251603,Jiya Sem,ojassampath@seth.info,7351077821,Mumbai,14-05-2023
114,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,494410,Vaibhav Sawhney,rtailor@zachariah.com,8700236945,Ahmedabad,04-01-2025
115,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,875735,Parinaaz Mann,purabbora@borde.com,8483023288,Pune,17-03-2025
116,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,879908,Nayantara Ram,sara46@vohra.com,7677380881,Hyderabad,03-08-2023
117,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,682461,Reyansh Shan,lakshitsavant@halder.com,7230468901,Delhi,14-10-2024
118,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,420069,Tushar Johal,rsha@hotmail.com,8935358592,Bangalore,27-02-2024
119,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,345929,Lakshay Kari,,7057946723,Bangalore,25-01-2025
120,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,496955,Navya Dhawan,,8576363819,Chennai,14-08-2024
121,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,463359,Miraya Manne,,7573883407,Mumbai,03-05-2024
122,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,509222,Nitara Hegde,rajbiju@hotmail.com,9613764733,Pune,29-03-2024
123,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,594165,Piya Ramachandran,,8891385025,Bangalore,29-09-2023
124,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,636395,Yashvi Hora,,8425403383,Kolkata,15-09-2024
125,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,421030,Kimaya Bansal,ganeshtejas@hotmail.com,8700213645,Pune,03-03-2024
126,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,530022,Neysa Vaidya,,9897307932,Hyderabad,09-04-2025
127,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,526034,Kartik Bandi,sampathaayush@hotmail.com,8138841902,Bangalore,30-09-2023
128,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,952431,Kimaya Chakraborty,trisha25@dua-dar.com,8467655445,Chennai,28-03-2024
129,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,202459,Sana Taneja,baradriya@sunder.org,9794013443,Mumbai,29-09-2023
130,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,816635,Nishith Mahal,kimaya69@yahoo.com,8103771637,Ahmedabad,31-01-2025
131,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,261495,Pihu Tailor,farhan12@chandra.com,7864389575,Delhi,01-10-2023
132,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,254818,Kartik Sane,dhanushdalal@kaur.net,7930216039,Bangalore,01-09-2023
133,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,105156,Bhavin Kara,,9617343581,Chennai,04-04-2025
134,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,711835,Aniruddh Dewan,samihasandhu@dani.biz,7088695254,Bangalore,02-05-2024
135,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,724396,Sana Korpal,,8014201066,Pune,26-10-2024
136,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,764851,Damini Chana,,8523502527,Delhi,19-09-2023
137,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,838679,Riaan Anne,reyanshgaba@hotmail.com,7106230885,Bangalore,29-03-2025
138,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,642239,Armaan Anne,,8515215512,Hyderabad,08-01-2025
139,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,212002,Neelofar Vala,kanavhayre@gmail.com,7845284136,Kolkata,16-03-2025
140,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,830696,Dishani Bala,pranaywable@sinha-kumar.com,9131620554,Bangalore,22-05-2024
141,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,917136,Aaryahi Reddy,vanyabhatt@hotmail.com,9520294343,Hyderabad,29-10-2024
142,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,778801,Shanaya Borde,azad59@srinivas-kakar.com,8873182736,Mumbai,02-09-2023
143,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,831980,Yashvi Acharya,chiragchawla@yahoo.com,9158063990,Delhi,15-03-2024
144,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,314874,Drishya Rana,,9718451672,Hyderabad,12-10-2023
145,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,724726,Urvi Kala,,7593456097,Kolkata,12-10-2023
146,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,775597,Nitya Das,,9087553761,Ahmedabad,30-12-2024
147,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,732429,Divyansh Bhardwaj,,8157814264,Delhi,10-11-2023
148,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,638393,Armaan Barad,aurorashanaya@yahoo.com,7462458221,Chennai,02-07-2024
149,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,216585,Divyansh Kashyap,agrawalmanikya@rau-trivedi.com,9611375768,Ahmedabad,28-04-2023
150,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,379633,Faiyaz Sani,qmann@hotmail.com,9609095735,Pune,27-07-2024
151,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,821989,Kavya Dhaliwal,aliajayaraman@yahoo.com,9510520062,Delhi,28-09-2024
152,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,867473,Jivin Sibal,pbuch@dar.org,8263607515,Delhi,17-02-2024
153,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,744145,Prisha Jani,duttyuvaan@hotmail.com,8126259700,Chennai,05-07-2023
154,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,276828,Myra Sarna,,9186475299,Delhi,09-04-2025
155,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,494112,Krish Batta,aarav76@samra-hayre.net,7594832861,Delhi,08-11-2024
156,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,189524,Neysa Sodhi,faiyazbanerjee@gera-kaur.com,7116169424,Kolkata,14-05-2024
157,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,931885,Advika Mangat,chandermanikya@yahoo.com,7365406240,Pune,26-02-2024
158,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,137770,Jayesh Bhandari,ritvikloyal@yahoo.com,7209194799,Hyderabad,12-05-2023
159,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,110995,Mehul Balan,rajagopalankiara@hotmail.com,7202585038,Pune,27-03-2025
160,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,221004,Chirag Singh,,8746743518,Pune,08-12-2024
161,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,479759,Badal Anand,hchakrabarti@dar.biz,8914214969,Bangalore,28-09-2023
162,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,957068,Keya Devan,ladkavya@shere-sarma.com,9766995835,Hyderabad,21-12-2024
163,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,857557,Zeeshan Wable,gbobal@gmail.com,7383465188,Ahmedabad,26-03-2025
164,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,604055,Umang Arora,,7908961088,Pune,14-07-2023
165,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,433818,Yasmin Dora,aborra@dhawan.com,9248283582,Delhi,30-12-2023
166,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,213392,Raunak Kara,,7663598326,Bangalore,01-01-2024
167,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,808810,Alia Kapadia,qlall@yahoo.com,7491846863,Kolkata,16-03-2025
168,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,574615,Sahil Thaman,,7624319656,Kolkata,26-01-2024
169,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,487023,Zeeshan Arora,madhav88@bhatti.com,7369953694,Kolkata,29-03-2025
170,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,712633,Yuvraj  Rout,cheriangokul@iyer.com,8425123235,Ahmedabad,08-08-2024
171,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,830522,Yuvraj  Sinha,jayankhare@bobal.com,7347337316,Kolkata,24-05-2024
172,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,366216,Miraan Handa,dkapadia@yahoo.com,9328770515,Ahmedabad,27-09-2023
173,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,798920,Aaina Sengupta,ichoudhary@vyas.com,7941991905,Bangalore,18-10-2024
174,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,610165,Ojas Sodhi,,7636470185,Delhi,02-04-2025
175,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,951535,Trisha Bedi,dassjivin@mangat.com,8649469945,Delhi,05-05-2023
176,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,913410,Nirvi Chada,,9427904916,Chennai,19-01-2024
177,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,339825,Tara Ravi,renee43@manne-shan.com,8727115424,Kolkata,20-11-2023
178,order,customer_country is required; order_time is required; total_amount is required; payment_mode is required; Country is required,266772,Devansh Hayer,sommohanlal@cheema.com,9200788592,Kolkata,27-03-2025
